sentence;arg1;rel;arg2;gold;pred;score;pattern_ud;subj_deprel;obj_deprel
1916, quando manifestantes atacaram soldados russos em Khujand por uma ameaça de recrutamento forçado durante a Primeira Guerra Mundial.;manifestantes;atacaram em;em Khujand;0;1;;verb+nary-split;nsubj;obl
1916, quando manifestantes atacaram soldados russos em Khujand por uma ameaça de recrutamento forçado durante a Primeira Guerra Mundial.;manifestantes;atacaram por;por uma ameaça de recrutamento;0;1;;verb+nary-split;nsubj;obl
Waitz definiu antropologia como a ciência de a natureza de o homem.;Waitz;definiu;antropologia;0;1;;verb+obj;nsubj;obj
Waitz definiu antropologia como a ciência de a natureza de o homem.;Waitz;definiu;antropologia como a ciência de a natureza de o homem;1;1;;verb+obj[+obl];nsubj;obj
Waitz definiu antropologia como a ciência de a natureza de o homem.;Waitz;definiu como;como a ciência de a natureza de o homem;0;1;;verb+nary-split;nsubj;obl
Waitz definiu antropologia como a ciência de a natureza de o homem.;Waitz;definiu antropologia como;a ciência de a natureza de o homem;1;0;0.0;unknown;;
O DNA consiste em uma cadeia feita de quatro tipos de subunidades nucleotídicas, cada uma composta por um açúcar de cinco carbonos (2-desoxirribose), um grupo fosfato e uma de as quatro bases adenina, citosina, guanina e timina.;O DNA;consiste em;uma cadeia;0;1;;verb+obj;nsubj;obj
O DNA consiste em uma cadeia feita de quatro tipos de subunidades nucleotídicas, cada uma composta por um açúcar de cinco carbonos (2-desoxirribose), um grupo fosfato e uma de as quatro bases adenina, citosina, guanina e timina.;O DNA;consiste em;uma cadeia feita de quatro tipos de subunidades nucleotídicas;1;0;0.0;unknown;;
Com a ocupação de Napoleão, Portugal começou um declínio lento, mas inexorável, que durou até o século XX.;Portugal;começou;um declínio lento mas inexorável;0;1;;verb+obj;nsubj;obj
Com a ocupação de Napoleão, Portugal começou um declínio lento, mas inexorável, que durou até o século XX.;Portugal;Com começou;a ocupação de Napoleão;0;1;;verb+nary-split;nsubj;obl
Com a ocupação de Napoleão, Portugal começou um declínio lento, mas inexorável, que durou até o século XX.;Portugal;começou;um declínio lento;1;0;0.0;unknown;;
Portugal mantém uma forma republicana semi-presidencial unitária de governo e é um país desenvolvido com uma economia avançada e um alto padrão de vida, tendo o 18º maior progresso social de o mundo, colocando-o a a frente de outros países de a Europa Ocidental como França, Espanha e Itália.;Portugal;mantém;uma forma republicana semi-presidencial unitária de governo;0;1;;verb+obj;nsubj;obj
Portugal mantém uma forma republicana semi-presidencial unitária de governo e é um país desenvolvido com uma economia avançada e um alto padrão de vida, tendo o 18º maior progresso social de o mundo, colocando-o a a frente de outros países de a Europa Ocidental como França, Espanha e Itália.;o 18º maior progresso social de o mundo;é;país;0;1;;cop;nsubj;conj
Portugal mantém uma forma republicana semi-presidencial unitária de governo e é um país desenvolvido com uma economia avançada e um alto padrão de vida, tendo o 18º maior progresso social de o mundo, colocando-o a a frente de outros países de a Europa Ocidental como França, Espanha e Itália.;Portugal;mantém;uma forma republicana semi-presidencial;1;0;0.0;unknown;;
Mais tarde, uma província de o norte de a Lusitânia foi formada, conhecida como Gallaecia, com capital em Bracara Augusta, hoje Braga.;uma província de o norte de a Lusitânia;foi;formada;1;0;0.0;unknown;;
O período de Taifa terminou com a conquista de os almorávidas que vieram de o Marrocos em 1086, conquistando uma vitória decisiva em a Batalha de Sagrajas, seguida um século depois em 1147, após o segundo período de Taifa, pelos Almohads, também de Marraquexe.;O período de Taifa;terminou com;a conquista de os almorávidas;1;0;0.0;unknown;;
O período de Taifa terminou com a conquista de os almorávidas que vieram de o Marrocos em 1086, conquistando uma vitória decisiva em a Batalha de Sagrajas, seguida um século depois em 1147, após o segundo período de Taifa, pelos Almohads, também de Marraquexe.;O período de Taifa;terminou com;a conquista de os almorávidas que vieram de o Marrocos em 1086;1;0;0.0;unknown;;
Os berberes eram originalmente de as montanhas de o Atlas e Rif de o norte de a África e eram essencialmente nômades.;Os berberes;eram;originalmente de as montanhas de o Atlas;1;0;0.0;unknown;;
Os berberes eram originalmente de as montanhas de o Atlas e Rif de o norte de a África e eram essencialmente nômades.;Os berberes;eram originalmente de;as montanhas de o Atlas;1;0;0.0;unknown;;
Mas as maiores reformas de Sebastião de Melo foram econômicas e financeiras, com a criação de várias empresas e guildas para regular todas as atividades comerciais.;as maiores reformas de Sebastião de Melo;foram;econômicas e financeiras;1;0;0.0;unknown;;
Em 2001, Portugal descriminalizou a posse de todas as drogas que ainda são ilegais em outros países desenvolvidos, incluindo, entre outras, maconha, cocaína, heroína e LSD.;Portugal;descriminalizou;a posse de todas as drogas;1;1;;verb+obj;nsubj;obj
O banco central de Portugal é o Banco de Portugal, parte integrante de o Sistema Europeu de Bancos Centrais.;O banco central de Portugal;é;Banco;0;1;;cop;nsubj;root
O banco central de Portugal é o Banco de Portugal, parte integrante de o Sistema Europeu de Bancos Centrais.;O banco central de Portugal;é;o Banco Portugal;0;1;;cop;nsubj;root
O banco central de Portugal é o Banco de Portugal, parte integrante de o Sistema Europeu de Bancos Centrais.;O banco central de Portugal;é;parte integrante de o Sistema Europeu de Bancos Centrais;1;0;0.0;unknown;;
Os pontos turísticos mais procurados em Portugal são Lisboa, Algarve, Madeira, Porto e a cidade de Coimbra, também entre 4-5 milhões de peregrinos religiosos visitam Fátima a cada ano, onde supostamente ocorreram aparições de a Virgem Maria a três pastores em 1917.;Os pontos turísticos;são;Lisboa;0;1;;cop;nsubj;root
Os pontos turísticos mais procurados em Portugal são Lisboa, Algarve, Madeira, Porto e a cidade de Coimbra, também entre 4-5 milhões de peregrinos religiosos visitam Fátima a cada ano, onde supostamente ocorreram aparições de a Virgem Maria a três pastores em 1917.;Os pontos turísticos;são;Lisboa 4-5;0;1;;cop;nsubj;root
Os pontos turísticos mais procurados em Portugal são Lisboa, Algarve, Madeira, Porto e a cidade de Coimbra, também entre 4-5 milhões de peregrinos religiosos visitam Fátima a cada ano, onde supostamente ocorreram aparições de a Virgem Maria a três pastores em 1917.;peregrinos religiosos;visitam;Fátima a cada ano;1;0;0.0;unknown;;
Os pontos turísticos mais procurados em Portugal são Lisboa, Algarve, Madeira, Porto e a cidade de Coimbra, também entre 4-5 milhões de peregrinos religiosos visitam Fátima a cada ano, onde supostamente ocorreram aparições de a Virgem Maria a três pastores em 1917.;peregrinos religiosos;visitam;Fátima;1;0;0.0;unknown;;
Os pontos turísticos mais procurados em Portugal são Lisboa, Algarve, Madeira, Porto e a cidade de Coimbra, também entre 4-5 milhões de peregrinos religiosos visitam Fátima a cada ano, onde supostamente ocorreram aparições de a Virgem Maria a três pastores em 1917.;entre 4-5 milhões de peregrinos religiosos;visitam;Fátima a cada ano;1;0;0.0;unknown;;
Em 2007, Portugal tinha 10.617.575 habitantes, de os quais cerca de 332.137 eram imigrantes legais.;Portugal;tinha;10.617.575 habitantes;1;1;;verb+obj;nsubj;obj
As universidades portuguesas existem desde 1290;As universidades portuguesas;existem;desde 1290;1;0;0.0;unknown;;
O futebol é o esporte mais popular em Portugal.;O futebol;é;esporte;0;1;;cop;nsubj;root
O futebol é o esporte mais popular em Portugal.;O futebol;é;o esporte popular Portugal;0;1;;cop;nsubj;root
O futebol é o esporte mais popular em Portugal.;O futebol;é;o esporte mais popular em Portugal;1;0;0.0;unknown;;
Mutações maiores podem ser causadas por erros em a recombinação para causar anormalidades cromossômicas, incluindo duplicação, exclusão, rearranjo ou inversão de grandes seções de um cromossomo.;Mutações maiores;podem;causadas;0;1;;verb+xcomp;nsubj:pass;xcomp
Mutações maiores podem ser causadas por erros em a recombinação para causar anormalidades cromossômicas, incluindo duplicação, exclusão, rearranjo ou inversão de grandes seções de um cromossomo.;Mutações maiores;podem;ser causadas por erros em a recombinação;1;0;0.0;unknown;;
Mutações maiores podem ser causadas por erros em a recombinação para causar anormalidades cromossômicas, incluindo duplicação, exclusão, rearranjo ou inversão de grandes seções de um cromossomo.;Mutações maiores;podem ser causadas por;erros em a recombinação;1;0;0.0;unknown;;
Portugal liderou a exploração européia de o mundo e uma era de a descoberta.;Portugal;liderou;a exploração européia de o mundo;1;1;;verb+obj[coord];nsubj;obj
Portugal liderou a exploração européia de o mundo e uma era de a descoberta.;Portugal;liderou;uma era de a descoberta;0;1;;verb+obj[coord];nsubj;obj
Portugal liderou a exploração européia de o mundo e uma era de a descoberta.;Portugal;liderou;a exploração européia;1;0;0.0;unknown;;
Finalmente, uma pequena fração de mutações é benéfica, melhorando a aptidão de o organismo e é extremamente importante para a evolução, uma vez que sua seleção direcional leva a a evolução adaptativa.;sua seleção direcional;leva a;a evolução adaptativa;1;1;;verb+obj;nsubj;obj
Finalmente, uma pequena fração de mutações é benéfica, melhorando a aptidão de o organismo e é extremamente importante para a evolução, uma vez que sua seleção direcional leva a a evolução adaptativa.;uma pequena fração de mutações;é;benéfica;1;1;;cop;nsubj;root
Finalmente, uma pequena fração de mutações é benéfica, melhorando a aptidão de o organismo e é extremamente importante para a evolução, uma vez que sua seleção direcional leva a a evolução adaptativa.;uma pequena fração de mutações;é;Finalmente benéfica;0;1;;cop;nsubj;root
O português é uma língua românica que se originou em o que hoje é a Galiza e o norte de Portugal, originária de o galego-português, que era a língua comum de o povo galego e português até a independência de Portugal.;O português;é;língua;0;1;;cop;nsubj;root
O português é uma língua românica que se originou em o que hoje é a Galiza e o norte de Portugal, originária de o galego-português, que era a língua comum de o povo galego e português até a independência de Portugal.;O português;é;uma língua românica;1;1;;cop;nsubj;root
O português é uma língua românica que se originou em o que hoje é a Galiza e o norte de Portugal, originária de o galego-português, que era a língua comum de o povo galego e português até a independência de Portugal.;que;se originou em;o;0;1;;verb+obl;nsubj;obl
O Ministério de a Saúde é responsável por desenvolver políticas de saúde, bem como gerenciar o SNS.;O Ministério de a Saúde;é;responsável;0;1;;cop;nsubj;root
O Ministério de a Saúde é responsável por desenvolver políticas de saúde, bem como gerenciar o SNS.;O Ministério de a Saúde;é;responsável por desenvolver políticas de saúde;1;0;0.0;unknown;;
O Ministério de a Saúde é responsável por desenvolver políticas de saúde, bem como gerenciar o SNS.;O Ministério de a Saúde;é responsável por;desenvolver políticas de saúde;1;0;0.0;unknown;;
Kanye Omari West nasceu em 8 de junho de 1977 em Atlanta, Geórgia.;Kanye Omari West;nasceu em;em Atlanta;0;1;;verb+obl;nsubj;obl
Kanye Omari West nasceu em 8 de junho de 1977 em Atlanta, Geórgia.;Kanye Omari West;nasceu em;8 de junho de 1977;0;1;;verb+nary-split;nsubj;obl
Kanye Omari West nasceu em 8 de junho de 1977 em Atlanta, Geórgia.;Kanye Omari West;nasceu em;Atlanta;1;0;0.0;unknown;;
O budismo mahayana, a o contrário, aspira a o estado de Buda através de o caminho de o bodhisattva, um estado em que alguém permanece neste ciclo para ajudar outros seres a alcançar o despertar.;alguém;permanece em;este ciclo;0;1;;verb+obl;nsubj;obl
O budismo mahayana, a o contrário, aspira a o estado de Buda através de o caminho de o bodhisattva, um estado em que alguém permanece neste ciclo para ajudar outros seres a alcançar o despertar.;O budismo mahayana;aspira;a o estado de Buda;1;0;0.0;unknown;;
Nem todos os genes essenciais são genes de manutenção, uma vez que alguns genes essenciais são regulados por o desenvolvimento ou expressos em determinados momentos durante o ciclo de vida de o organismo.;alguns genes essenciais;são regulados durante;o ciclo de vida de o organismo;0;1;;aux:pass;nsubj:pass;obl
Nem todos os genes essenciais são genes de manutenção, uma vez que alguns genes essenciais são regulados por o desenvolvimento ou expressos em determinados momentos durante o ciclo de vida de o organismo.;todos os genes essenciais;são;genes;0;1;;cop;nsubj;root
Nem todos os genes essenciais são genes de manutenção, uma vez que alguns genes essenciais são regulados por o desenvolvimento ou expressos em determinados momentos durante o ciclo de vida de o organismo.;todos os genes essenciais;são;genes manutenção;0;1;;cop;nsubj;root
Nem todos os genes essenciais são genes de manutenção, uma vez que alguns genes essenciais são regulados por o desenvolvimento ou expressos em determinados momentos durante o ciclo de vida de o organismo.;Nem todos os genes essenciais;são;genes de manutenção;1;0;0.0;unknown;;
Nem todos os genes essenciais são genes de manutenção, uma vez que alguns genes essenciais são regulados por o desenvolvimento ou expressos em determinados momentos durante o ciclo de vida de o organismo.;alguns genes essenciais;são;regulados por o desenvolvimento;1;0;0.0;unknown;;
Nem todos os genes essenciais são genes de manutenção, uma vez que alguns genes essenciais são regulados por o desenvolvimento ou expressos em determinados momentos durante o ciclo de vida de o organismo.;alguns genes essenciais;são regulados por;o desenvolvimento;1;0;0.0;unknown;;
Dentro de o budismo, samsara é definido como o ciclo repetitivo contínuo de nascimento e morte que surge de a apreensão e fixação de seres comuns em um eu e experiências.;samsara;é definido como;o ciclo repetitivo contínuo de nascimento e morte;1;1;;aux:pass;nsubj:pass;xcomp
No contexto de as quatro nobres verdades, a origem de dukkha é comumente explicada como desejo (Pali tanha) condicionado por a ignorância (Pali avijja).;a origem de dukkha;Em é explicada;o contexto de as quatro nobres verdades;0;1;;aux:pass;nsubj:pass;obl
No contexto de as quatro nobres verdades, a origem de dukkha é comumente explicada como desejo (Pali tanha) condicionado por a ignorância (Pali avijja).;a origem de dukkha;é;comumente explicada como desejo;1;0;0.0;unknown;;
O budismo mahayana encoraja todos a se tornarem bodhisattvas e a fazer o voto de bodhisattva, onde o praticante promete trabalhar para a completa iluminação de todos os seres praticando os seis pāramitās.;O budismo mahayana;encoraja;todos;0;1;;verb+obj;nsubj;obj
O budismo mahayana encoraja todos a se tornarem bodhisattvas e a fazer o voto de bodhisattva, onde o praticante promete trabalhar para a completa iluminação de todos os seres praticando os seis pāramitās.;O budismo mahayana;encoraja;a tornarem bodhisattvas;0;1;;verb+xcomp;nsubj;xcomp
O budismo mahayana encoraja todos a se tornarem bodhisattvas e a fazer o voto de bodhisattva, onde o praticante promete trabalhar para a completa iluminação de todos os seres praticando os seis pāramitās.;o praticante;promete;trabalhar para a completa iluminação;0;1;;verb+xcomp;nsubj;xcomp
O budismo mahayana encoraja todos a se tornarem bodhisattvas e a fazer o voto de bodhisattva, onde o praticante promete trabalhar para a completa iluminação de todos os seres praticando os seis pāramitās.;O budismo mahayana;encoraja;todos a se tornarem bodhisattvas;1;0;0.0;unknown;;
O budismo mahayana encoraja todos a se tornarem bodhisattvas e a fazer o voto de bodhisattva, onde o praticante promete trabalhar para a completa iluminação de todos os seres praticando os seis pāramitās.;O budismo mahayana;encoraja todos a;se tornarem bodhisattvas;1;0;0.0;unknown;;
O budismo mahayana encoraja todos a se tornarem bodhisattvas e a fazer o voto de bodhisattva, onde o praticante promete trabalhar para a completa iluminação de todos os seres praticando os seis pāramitās.;o praticante;promete;trabalhar para a completa iluminação de todos os seres;1;0;0.0;unknown;;
O budismo nega uma divindade como O Criador e postula que divindades mundanas como Mahabrahma são mal interpretadas como criador.;O budismo;nega;uma divindade como O Criador;1;1;;verb+obj;nsubj;obj
O budismo nega uma divindade como O Criador e postula que divindades mundanas como Mahabrahma são mal interpretadas como criador.;divindades mundanas como Mahabrahma;são interpretadas como;criador;0;1;;aux:pass;nsubj:pass;xcomp
A segunda verdade é que a origem de dukkha pode ser conhecida.;A segunda verdade;é;que a origem pode conhecida;0;1;;verb+ccomp;nsubj;ccomp
A segunda verdade é que a origem de dukkha pode ser conhecida.;a origem de dukkha;pode;que conhecida;0;1;;verb+xcomp;nsubj:pass;xcomp
A segunda verdade é que a origem de dukkha pode ser conhecida.;a origem de dukkha;pode ser;conhecida;1;0;0.0;unknown;;
O ensinamento zen-budista geralmente é cheio de paradoxos, a fim de afrouxar o domínio de o ego e facilitar a penetração em o reino de o Eu Verdadeiro ou Eu Sem Forma, que é equiparado a o próprio Buda.;O ensinamento zen-budista;é;cheio;0;1;;cop;nsubj;root
O ensinamento zen-budista geralmente é cheio de paradoxos, a fim de afrouxar o domínio de o ego e facilitar a penetração em o reino de o Eu Verdadeiro ou Eu Sem Forma, que é equiparado a o próprio Buda.;O ensinamento zen-budista;geralmente é;cheio de paradoxos;1;0;0.0;unknown;;
O ensinamento zen-budista geralmente é cheio de paradoxos, a fim de afrouxar o domínio de o ego e facilitar a penetração em o reino de o Eu Verdadeiro ou Eu Sem Forma, que é equiparado a o próprio Buda.;O ensinamento zen-budista;geralmente é cheio de;paradoxos;1;0;0.0;unknown;;
Além disso, o Budismo de o Leste Asiático reconhece alguns sutras considerados pelos estudiosos de origem chinesa e não indiana.;o Budismo de o Leste Asiático;reconhece;alguns sutras;0;1;;verb+obj;nsubj;obj
Além disso, o Budismo de o Leste Asiático reconhece alguns sutras considerados pelos estudiosos de origem chinesa e não indiana.;o Budismo de o Leste Asiático;reconhece;Além de isso;0;1;;verb+nary-split;nsubj;obl
Além disso, o Budismo de o Leste Asiático reconhece alguns sutras considerados pelos estudiosos de origem chinesa e não indiana.;o Budismo de o Leste Asiático;reconhece;alguns sutras considerados pelos estudiosos de origem chinesa;1;0;0.0;unknown;;
O programa foi renomeado como American Idol The Search for a Superstar e estreou em o verão de 2002.;O programa;foi renomeado como;American Idol The Search;0;1;;aux:pass;nsubj:pass;xcomp
O programa foi renomeado como American Idol The Search for a Superstar e estreou em o verão de 2002.;O programa;for;a Superstar;0;1;;verb+obj[conj];nsubj:pass;obj
O programa foi renomeado como American Idol The Search for a Superstar e estreou em o verão de 2002.;O programa;foi;renomeado como American Idol The Search for a Superstar;1;0;0.0;unknown;;
O programa foi renomeado como American Idol The Search for a Superstar e estreou em o verão de 2002.;O programa;foi renomeado como;American Idol The Search for a Superstar;1;0;0.0;unknown;;
No entanto, em a sexta temporada, durante o primeiro episódio de a série Idol Gives Back, nenhum participante foi eliminado, mas em a semana seguinte, dois foram enviados para casa.;nenhum participante;em foi eliminado;a sexta temporada;0;1;;aux:pass;nsubj:pass;obl
No entanto, em a sexta temporada, durante o primeiro episódio de a série Idol Gives Back, nenhum participante foi eliminado, mas em a semana seguinte, dois foram enviados para casa.;dois;em foram enviados;a semana seguinte;0;1;;aux:pass;nsubj:pass;obl
No entanto, em a sexta temporada, durante o primeiro episódio de a série Idol Gives Back, nenhum participante foi eliminado, mas em a semana seguinte, dois foram enviados para casa.;dois;foram enviados para;casa;0;1;;verb+obl;nsubj:pass;obl
No entanto, em a sexta temporada, durante o primeiro episódio de a série Idol Gives Back, nenhum participante foi eliminado, mas em a semana seguinte, dois foram enviados para casa.;dois;foram enviados para;casa;0;1;;verb+nary-split;nsubj:pass;obl
No entanto, em a sexta temporada, durante o primeiro episódio de a série Idol Gives Back, nenhum participante foi eliminado, mas em a semana seguinte, dois foram enviados para casa.;nenhum participante;foi;eliminado;1;0;0.0;unknown;;
Após o sucesso de a primeira temporada, a segunda temporada foi a o ar em janeiro de 2003.;a segunda temporada;foi a;o ar em janeiro de 2003;1;0;0.0;unknown;;
Após o sucesso de a primeira temporada, a segunda temporada foi a o ar em janeiro de 2003.;a segunda temporada;foi a o ar em;janeiro de 2003;1;0;0.0;unknown;;
Desde então, Underwood vendeu 65 milhões de discos em todo o mundo e se tornou o concorrente de maior sucesso em os EUA, vendendo mais de 14 milhões de cópias de álbuns em os EUA e mais Underwood ganhou sete prêmios Grammy, o maior número de Grammys de um ex-aluno de o American Idol.;Underwood;vendeu;65 milhões de discos;1;1;;verb+obj;nsubj;obj
Desde então, Underwood vendeu 65 milhões de discos em todo o mundo e se tornou o concorrente de maior sucesso em os EUA, vendendo mais de 14 milhões de cópias de álbuns em os EUA e mais Underwood ganhou sete prêmios Grammy, o maior número de Grammys de um ex-aluno de o American Idol.;Underwood;vendeu;65 milhões de discos em todo o mundo;1;1;;verb+obj[+obl];nsubj;obj
Desde então, Underwood vendeu 65 milhões de discos em todo o mundo e se tornou o concorrente de maior sucesso em os EUA, vendendo mais de 14 milhões de cópias de álbuns em os EUA e mais Underwood ganhou sete prêmios Grammy, o maior número de Grammys de um ex-aluno de o American Idol.;Underwood;ganhou;sete prêmios Grammy o maior número de Grammys de um ex-aluno de o American Idol;0;1;;verb+obj[conj];nsubj;obj
Desde então, Underwood vendeu 65 milhões de discos em todo o mundo e se tornou o concorrente de maior sucesso em os EUA, vendendo mais de 14 milhões de cópias de álbuns em os EUA e mais Underwood ganhou sete prêmios Grammy, o maior número de Grammys de um ex-aluno de o American Idol.;Underwood;vendeu em;em todo o mundo;0;1;;verb+nary-split;nsubj;obl
Desde então, Underwood vendeu 65 milhões de discos em todo o mundo e se tornou o concorrente de maior sucesso em os EUA, vendendo mais de 14 milhões de cópias de álbuns em os EUA e mais Underwood ganhou sete prêmios Grammy, o maior número de Grammys de um ex-aluno de o American Idol.;Underwood;ganhou;sete prêmios Grammy;1;0;0.0;unknown;;
No final de a temporada de 23 de maio, Jordin Sparks foi declarado vencedor, sendo o segundo colocado Blake Lewis.;Jordin Sparks;Em foi declarado;o final de a temporada de 23 de maio;0;1;;aux:pass;nsubj:pass;obl
No final de a temporada de 23 de maio, Jordin Sparks foi declarado vencedor, sendo o segundo colocado Blake Lewis.;Jordin Sparks;foi declarado;vencedor;1;1;;verb+xcomp;nsubj:pass;xcomp
No final de a temporada de 23 de maio, Jordin Sparks foi declarado vencedor, sendo o segundo colocado Blake Lewis.;Jordin Sparks;foi;declarado vencedor;1;0;0.0;unknown;;
De acordo com o vencedor de a quinta temporada, Taylor Hicks, que é de o estado de o Alabama, as pessoas de o sul têm muito orgulho... Então, elas são inflexíveis em apoiar os competidores que se saem bem de seu estado ou região.;Taylor Hicks;têm;muito orgulho;0;1;;verb+obj;nsubj;obj
De acordo com o vencedor de a quinta temporada, Taylor Hicks, que é de o estado de o Alabama, as pessoas de o sul têm muito orgulho... Então, elas são inflexíveis em apoiar os competidores que se saem bem de seu estado ou região.;Taylor Hicks;De têm;acordo com o vencedor de a quinta temporada;0;1;;verb+nary-split;nsubj;obl
De acordo com o vencedor de a quinta temporada, Taylor Hicks, que é de o estado de o Alabama, as pessoas de o sul têm muito orgulho... Então, elas são inflexíveis em apoiar os competidores que se saem bem de seu estado ou região.;Taylor Hicks;é de;o estado de o Alabama;1;0;0.0;unknown;;
De acordo com o vencedor de a quinta temporada, Taylor Hicks, que é de o estado de o Alabama, as pessoas de o sul têm muito orgulho... Então, elas são inflexíveis em apoiar os competidores que se saem bem de seu estado ou região.;as pessoas de o sul;têm;muito orgulho;1;0;0.0;unknown;;
A sexta temporada foi a primeira temporada em que os resultados médios mostram uma classificação mais alta de o que as etapas de a competição (diferente de as temporadas anteriores) e se tornou a segunda melhor classificação de a série após a temporada anterior.;A sexta temporada;foi;temporada;0;1;;cop;nsubj;root
A sexta temporada foi a primeira temporada em que os resultados médios mostram uma classificação mais alta de o que as etapas de a competição (diferente de as temporadas anteriores) e se tornou a segunda melhor classificação de a série após a temporada anterior.;A sexta temporada;foi;a primeira temporada;0;1;;cop;nsubj;root
A sexta temporada foi a primeira temporada em que os resultados médios mostram uma classificação mais alta de o que as etapas de a competição (diferente de as temporadas anteriores) e se tornou a segunda melhor classificação de a série após a temporada anterior.;A sexta temporada;foi;a primeira temporada em que os resultados médios mostram uma classificação mais alta;1;0;0.0;unknown;;
A sexta temporada foi a primeira temporada em que os resultados médios mostram uma classificação mais alta de o que as etapas de a competição (diferente de as temporadas anteriores) e se tornou a segunda melhor classificação de a série após a temporada anterior.;os resultados médios;mostram;uma classificação mais alta de o que as etapas de a competição;1;0;0.0;unknown;;
O American Idol foi indicado a o Programa de Competição de Realidade Excepcional de o Emmy por nove anos, mas nunca venceu.;O American Idol;foi indicado a;o Programa de Competição de Realidade Excepcional de o Emmy;1;1;;aux:pass;nsubj:pass;obl
O American Idol foi indicado a o Programa de Competição de Realidade Excepcional de o Emmy por nove anos, mas nunca venceu.;O American Idol;foi;indicado a o Programa de Competição de Realidade Excepcional de o Emmy;1;0;0.0;unknown;;
Na turnê de a 12ª temporada, um semi-finalista que venceu uma cantada também foi adicionado a a turnê.;um semi-finalista;Em foi adicionado;a turnê de a 12ª temporada;0;1;;aux:pass;nsubj:pass;obl
Na turnê de a 12ª temporada, um semi-finalista que venceu uma cantada também foi adicionado a a turnê.;um semi-finalista que venceu uma cantada;foi adicionado a;a turnê;1;0;0.0;unknown;;
A apresentadora de talk show ganhadora de o Emmy, Ellen Degeneres substituiu Paula Abdul nessa temporada, mas saiu depois de apenas uma temporada.;A apresentadora de talk show ganhadora;substituiu;Paula Abdul;0;1;;verb+obj;nsubj;obj
A apresentadora de talk show ganhadora de o Emmy, Ellen Degeneres substituiu Paula Abdul nessa temporada, mas saiu depois de apenas uma temporada.;A apresentadora de talk show ganhadora;substituiu;Paula Abdul em essa temporada;0;1;;verb+obj[+obl];nsubj;obj
A apresentadora de talk show ganhadora de o Emmy, Ellen Degeneres substituiu Paula Abdul nessa temporada, mas saiu depois de apenas uma temporada.;A apresentadora de talk show ganhadora;substituiu em;em essa temporada;0;1;;verb+nary-split;nsubj;obl
A apresentadora de talk show ganhadora de o Emmy, Ellen Degeneres substituiu Paula Abdul nessa temporada, mas saiu depois de apenas uma temporada.;Ellen Degeneres;substituiu;Paula Abdul nessa temporada;1;0;0.0;unknown;;
A apresentadora de talk show ganhadora de o Emmy, Ellen Degeneres substituiu Paula Abdul nessa temporada, mas saiu depois de apenas uma temporada.;Ellen Degeneres;substituiu;Paula Abdul;1;0;0.0;unknown;;
Em 1758, o taxonomista Linnaeus publicou em o Systema Naturae uma categorização de espécies que incluía as espécies de Canis.;o taxonomista;publicou;uma categorização de espécies;0;1;;verb+obj;nsubj;obj
Em 1758, o taxonomista Linnaeus publicou em o Systema Naturae uma categorização de espécies que incluía as espécies de Canis.;o taxonomista;publicou em;o Systema Naturae;0;1;;verb+nary-split;nsubj;obl
Em 1758, o taxonomista Linnaeus publicou em o Systema Naturae uma categorização de espécies que incluía as espécies de Canis.;o taxonomista Linnaeus;publicou em;o Systema Naturae uma categorização de espécies;1;0;0.0;unknown;;
Em 1758, o taxonomista Linnaeus publicou em o Systema Naturae uma categorização de espécies que incluía as espécies de Canis.;o taxonomista Linnaeus;publicou em o Systema Naturae;uma categorização de espécies;1;0;0.0;unknown;;
Em 1758, o taxonomista Linnaeus publicou em o Systema Naturae uma categorização de espécies que incluía as espécies de Canis.;o taxonomista Linnaeus;publicou;uma categorização de espécies que incluía as espécies de Canis;1;0;0.0;unknown;;
Nos países asiáticos, como China, Coréia e Japão, os cães são vistos como protetores gentis.;os cães;Em são vistos;os países asiáticos como China Coréia e Japão;0;1;;aux:pass;nsubj:pass;obl
Nos países asiáticos, como China, Coréia e Japão, os cães são vistos como protetores gentis.;os cães;são;vistos como protetores gentis;1;0;0.0;unknown;;
Nos países asiáticos, como China, Coréia e Japão, os cães são vistos como protetores gentis.;os cães;são vistos como;protetores gentis;1;0;0.0;unknown;;
O pai de uma ninhada é chamado de dam, e a mãe é chamada de sire.: {;O pai de uma ninhada;é chamado;dam;0;1;;aux:pass;nsubj:pass;xcomp
O pai de uma ninhada é chamado de dam, e a mãe é chamada de sire.: {;a mãe;é chamada de;sire;1;1;;aux:pass;nsubj:pass;xcomp
O pai de uma ninhada é chamado de dam, e a mãe é chamada de sire.: {;O pai de uma ninhada;é chamado;de dam;0;1;;verb+xcomp;nsubj:pass;xcomp
O pai de uma ninhada é chamado de dam, e a mãe é chamada de sire.: {;O pai de uma ninhada;é;chamado de dam;1;0;0.0;unknown;;
O pai de uma ninhada é chamado de dam, e a mãe é chamada de sire.: {;O pai de uma ninhada;é chamado de;dam;1;0;0.0;unknown;;
O pai de uma ninhada é chamado de dam, e a mãe é chamada de sire.: {;a mãe;é;chamada de sire;1;0;0.0;unknown;;
Cazaquistão: O primeiro portador de tocha em Almaty, onde a tocha olímpica chegou por a primeira vez em 2 de abril, foi o presidente de o Nursultan Nazarbaev de o Cazaquistão.;a tocha olímpica;chegou por;a primeira vez em 2 de abril;1;0;0.0;unknown;;
